Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
9;1172309;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.41;мужской;1;0;Высшее/Второе высшее/Ученая степень;специалист;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1172329;2НДФЛ;Ремонт;1;0.48;мужской;0;0;высшее;вспомогательный персонал;>250;3;9;30;Торговля;ООО;женат / замужем;5;2;2;1;1;0.2173913043;0;0;0;0;0.4;2;3;108;5;0;0;31;80;1;1;1;1;0;0;0
9;1172349;2НДФЛ;Ремонт;0;0.24;мужской;0;0;высшее;рабочий;< 50;0;124;38;Торговля;ООО;женат / замужем;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;
9;1172369;2НДФЛ;Покупка автомобиля;1;0.33;мужской;2;0;среднее-специальное;рабочий;>250;3;28;27;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1172389;Поступление зарплаты на счет;Ремонт;1;0.33;женский;1;0;высшее;торговый представитель;>250;1;49;30;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1172409;Свободная форма с печатью работодателя;Ремонт;0;0.25;женский;0;0;высшее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1172429;Поступление зарплаты на счет;Отпуск;0;0.2;женский;2;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;78;31;Торговля;ООО;женат / замужем;2;1;1;1;0;0.0425531915;1;0;0;0;0;0;4;45;4;0;1;32;110;1;0;0;0;0;0;0
9;1172449;2НДФЛ;Ремонт;0;0.54;женский;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1172469;Форма банка (без печати работодателя);Покупка автомобиля;0;0.2;мужской;1;0;высшее;менеджер среднего звена;< 50;0;29;28;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1172489;2НДФЛ;Покупка недвижимости/ строительство;1;0.49;мужской;0;0;высшее;менеджер высшего звена;< 50;0;32;38;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1172509;2НДФЛ;Ремонт;1;0.49;мужской;0;0;высшее;вспомогательный персонал;>250;0;44;28;Торговля;ООО;женат / замужем;1;0;0;0;0;0.0614035088;0;0;0;0;0.0666666667;1;14;107;15;1;0;4;60;1;0;0;0;0;0;0
9;1172529;2НДФЛ;Покупка мебели;1;0.45;женский;1;0;высшее;вспомогательный персонал;< 50;3;17;27;Торговля;Индивидуальный предприниматель;женат / замужем;2;2;2;2;0;0;0;0;0;0;0.5;1;1;13;2;0;0;11;16;0;0;0;0;0;0;0
9;1172549;Поступление зарплаты на счет;Ремонт;0;0.48;мужской;2;0;второе высшее;менеджер среднего звена;>250;0;46;32;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1172569;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.47;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;0;348;50;Другое;ООО;женат / замужем;6;6;3;3;1;0.1101190476;1;0;0;0;0.1481481481;4;23;299;27;3;0;13;98;1;1;0;0;0;0;0
9;1172589;Поступление зарплаты на счет;Ремонт;1;0.19;мужской;2;0;высшее;менеджер среднего звена;>250;0;107;37;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
